Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
468;TRV;The Travelers Companies, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US89417E1091;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
469;TSCO;Tractor Supply Company;Акции;Акции иностранного эмитента  обыкновенные;;US8923561067;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
470;TSLA;Tesla, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US88160R1014;ESVUFR;1,00;0,01;USD;22.09.2015 0:00:00
471;TSN;Tyson Foods, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US9024941034;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
472;TSS;Total System Services, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8919061098;ESXXXX;1,00;0,01;USD;01.06.2017 0:00:00
473;TTM;Citibank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций Tata Motors Limited;US8765685024;ESVUFA;1,00;0,01;USD;18.05.2017 0:00:00
474;TWTR;Twitter, Inc. ;Акции;Акции иностранного эмитента  обыкновенные;;US90184L1026;ESVUFR;1,00;0,01;USD;29.04.2016 0:00:00
475;TWX;Time Warner Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8873173038;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
476;TXN;Texas Instruments Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US8825081040;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
477;TXT;Textron Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8832031012;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
478;UA;Under Armour, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса C;;US9043112062;ESNUFR;1,00;0,01;USD;31.08.2017 0:00:00
479;UAA;Under Armour, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US9043111072;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
480;UAL;United Continental Holdings, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9100471096;ESXXXR;1,00;0,01;USD;26.10.2016 0:00:00
481;UDR;UDR, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9026531049;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
482;UHS;Universal Health Services, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса B;;US9139031002;ESXXXR;1,00;0,01;USD;01.06.2017 0:00:00
483;ULTA;Ulta Beauty, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US90384S3031;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
484;UNH;UnitedHealth Group Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US91324P1021;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
485;UNM;Unum Group;Акции;Акции иностранного эмитента  обыкновенные;;US91529Y1064;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
486;UNP;Union Pacific Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US9078181081;ESXXXR;1,00;0,01;USD;26.10.2016 0:00:00
487;UPS;United Parcel Service, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса B;;US9113121068;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
488;URBN;Urban Outfitters, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9170471026;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
489;URI;United Rentals, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9113631090;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
490;USB;U.S. Bancorp;Акции;Акции иностранного эмитента  обыкновенные;;US9029733048;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
491;UTX;United Technologies Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US9130171096;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
492;V;Visa Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US92826C8394;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
493;VAR;Varian Medical Systems, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US92220P1057;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
494;VEON;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций VEON Ltd.;US91822M1062;ESVUFA;1,00;0,01;USD;24.08.2017 0:00:00
495;VFC;V.F. Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US9182041080;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
496;VIAB;Viacom Inc.;Акции;Акции иностранного эмитента  обыкновенные класса B;;US92553P2011;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
497;VIPS;Deutsche Bank Trust Company Americas;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций Vipshop Holdings Limited;US92763W1036;ESVUFA;1,00;0,01;USD;26.08.2016 0:00:00
498;VLO;Valero Energy Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US91913Y1001;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
499;VMC;Vulcan Materials Company;Акции;Акции иностранного эмитента  обыкновенные;;US9291601097;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
500;VNO;Vornado Realty Trust;Акции;Акции иностранного эмитента  обыкновенные;;US9290421091;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
501;VRSK;Verisk Analytics, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US92345Y1064;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
502;VRSN;VeriSign, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US92343E1029;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
503;VRTX;Vertex Pharmaceuticals Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US92532F1003;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
504;VTB1020;VTB Capital S.A.;Облигации;Облигации иностранного эмитента  иностранного эмитента;;XS0548633659;DTFXFR;1,00;0,01;PCT;18.04.2017 0:00:00
505;VTBperp;VTB Eurasia Designated Activity Company;Облигации;Облигации иностранного эмитента  иностранного эмитента;;XS0810596832;DYVXXR;;0,01;PCT;06.12.2017 0:00:00
506;VTR;Ventas, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US92276F1003;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
507;VZ;Verizon Communications Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US92343V1044;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
508;WAT;Waters Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US9418481035;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
509;WB;JPMorgan Chase Bank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций Weibo Corporation;US9485961018;ESVUFA;1,00;0,01;USD;26.08.2016 0:00:00
510;WBA;Walgreens Boots Alliance, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9314271084;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
511;WDC;Western Digital Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US9581021055;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
512;WEC;WEC Energy Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US92939U1060;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
513;WFC;Wells Fargo & Company;Акции;Акции иностранного эмитента  обыкновенные;;US9497461015;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
514;WHR;Whirlpool Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US9633201069;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
515;WLTW;Willis Towers Watson Public Limited Company;Акции;Акции иностранного эмитента  обыкновенные;;IE00BDB6Q211;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
516;WM;Waste Management, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US94106L1098;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
517;WMB;The Williams Companies, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9694571004;ESXXXX;1,00;0,01;USD;26.10.2016 0:00:00
518;WMT;Wal-Mart Stores, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9311421039;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
519;WRK;WestRock Company;Акции;Акции иностранного эмитента  обыкновенные;;US96145D1054;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
520;WU;The Western Union Company;Акции;Акции иностранного эмитента  обыкновенные;;US9598021098;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
521;WY;Weyerhaeuser Company;Акции;Акции иностранного эмитента  обыкновенные;;US9621661043;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
522;WYN;Wyndham Worldwide Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US98310W1080;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
523;WYNN;Wynn Resorts, Limited;Акции;Акции иностранного эмитента  обыкновенные;;US9831341071;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
524;XEC;Cimarex Energy Co.;Акции;Акции иностранного эмитента  обыкновенные;;US1717981013;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
525;XEL;Xcel Energy Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US98389B1008;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
526;XL;XL Group Ltd.;Акции;Акции иностранного эмитента  обыкновенные;;BMG982941046;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
527;XLNX;Xilinx, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9839191015;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
528;XOM;Exxon Mobil Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US30231G1022;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
529;XRAY;DENTSPLY SIRONA Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US24906P1093;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
530;XRX;Xerox Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US9841216081;ESVUXR;1,00;0,01;USD;20.06.2017 0:00:00
531;XYL;Xylem Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US98419M1009;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
532;YUM;Yum! Brands, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US9884981013;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
533;YY;Deutsche Bank Trust Company Americas;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций YY Inc.;US98426T1060;ESVUFA;1,00;0,01;USD;26.08.2016 0:00:00
534;ZBH;Zimmer Biomet Holdings, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US98956P1021;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
535;ZION;Zions Bancorporation;Акции;Акции иностранного эмитента  обыкновенные;;US9897011071;ESVUFX;1,00;0,01;USD;14.06.2017 0:00:00
536;ZTS;Zoetis Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US98978V1035;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
